url,allowed,reason
https://www.ccsd.net/fs/resource-manager/view/b176dcd0-42a6-4a64-956f-c697480f804f,True,allowed by robots.txt
https://www.ccsd.net/fs/resource-manager/view/e10e644a-8d6a-4368-a13d-e5f6caa41773,True,allowed by robots.txt
https://www.ccsd.net/fs/resource-manager/view/eacbd6d3-bee0-46e7-acfb-14c19b54e03f,True,allowed by robots.txt
https://dhs.dcsd.net/fs/resource-manager/view/c796b6e0-bc99-4321-8482-093a924ad1ed,True,allowed by robots.txt
https://whs.dcsd.net/fs/resource-manager/view/7444125a-b92c-4bc3-8df9-4ff0b4bf1455,True,allowed by robots.txt
https://www.dcsd.net/about/closings-delays,False,disallowed by robots.txt
https://www.lcsdnv.com/Content/2025/7/as60-ADMINISTRATORSSCHEDULE.pdf,False,disallowed by robots.txt
https://www.lcsdnv.com/Content/2025/7/rt67-CertifiedSalarySchedule.pdf,False,disallowed by robots.txt
https://www.lcsdnv.com/Content/2025/7/nc51-CertifiedYearRoundSalarySchedule.pdf,False,disallowed by robots.txt
https://www.lcsdnv.com/Content/2025/7/qe61-CLASSIFIEDSALARYSCHEDULE2.pdf,False,disallowed by robots.txt
https://www.lcsdnv.com/Content/2025/7/zj93-FY25ExtraCurricularStipendScheduleandDescriptions.pdf,False,disallowed by robots.txt
https://www.lcsdnv.com/Content/2025/7/tn74-SUPERVISORYSCHEDULE.pdf,False,disallowed by robots.txt
https://www.washoeschools.net/fs/resource-manager/view/9cb18bd3-e2a9-4429-8486-52c67d05199f,True,allowed by robots.txt
https://www.washoeschools.net/fs/resource-manager/view/35f5b3cb-5395-4bfe-b6c9-90a2dbcd954a,True,allowed by robots.txt
https://www.washoeschools.net/fs/resource-manager/view/375d6efc-1d14-4512-81c5-64e516a5a141,True,allowed by robots.txt
https://www.washoeschools.net/fs/resource-manager/view/b63b7937-3b92-479b-8536-b17500f290b0,True,allowed by robots.txt
https://www.washoeschools.net/fs/resource-manager/view/3e4db1a7-8fe6-4ccf-95a1-d6825129c098,True,allowed by robots.txt
https://www.washoeschools.net/fs/resource-manager/view/49d862f5-1987-463c-b95d-e7090664df92,True,allowed by robots.txt
https://www.washoeschools.net/fs/resource-manager/view/3b00306e-6e3e-4834-a27f-17b070a3bffe,True,allowed by robots.txt
https://www.washoeschools.net/fs/resource-manager/view/38a1996c-2493-4fc1-b0ae-7c13c9dfff63,True,allowed by robots.txt
https://www.washoeschools.net/fs/resource-manager/view/a47b9486-581a-45ec-9ec9-dff7383505d3,True,allowed by robots.txt
https://www.washoeschools.net/fs/resource-manager/view/e27b87d2-eb34-4ed8-8b13-60a9afe401af,True,allowed by robots.txt
https://www.washoeschools.net/fs/resource-manager/view/8b5b90b6-ac81-4a02-99a3-06cf3d7e24b9,True,allowed by robots.txt
https://www.washoeschools.net/fs/resource-manager/view/4d238382-ef2f-4126-9ffd-e063c5e5f147,True,allowed by robots.txt
https://www.washoeschools.net/fs/resource-manager/view/b3060984-143a-44b7-9740-20b7433e70ac,True,allowed by robots.txt
https://www.washoeschools.net/fs/resource-manager/view/47fc6106-4203-427a-a6d0-11cd3132d19a,True,allowed by robots.txt
https://www.washoeschools.net/fs/resource-manager/view/4854fad6-097c-4a4a-aac5-7f278d71dcfa,True,allowed by robots.txt
https://www.whitepine.k12.nv.us/sys/content/newspost/4715f22646d043d88a7537ba64a1a013,False,disallowed by robots.txt
https://www.whitepine.k12.nv.us/sys/content/newspost/dcc53c0b4cab4ab19568b5fe9156c228,False,disallowed by robots.txt
https://steptoe.whitepine.k12.nv.us/sys/content/newspost/4715f22646d043d88a7537ba64a1a013,False,disallowed by robots.txt
https://whitepinehigh.whitepine.k12.nv.us/sys/content/newspost/2167177ecadf41ccb9175615bf819d89,False,disallowed by robots.txt
https://whitepinehigh.whitepine.k12.nv.us/sys/content/newspost/4715f22646d043d88a7537ba64a1a013,False,disallowed by robots.txt
http://CharterSchools.nv.gov/uploadedFiles/CharterSchoolsnvgov/content/OpenASchool/251216-2026-SPCSA-NeedsAssessment-Final.pdf,True,allowed by robots.txt
